county_desc,light_desc,collision_type_desc,weather_desc,harm_event_desc1,harm_event_desc2,rd_cond_desc,report_type
Baltimore,Daylight,Other,Not Applicable,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore City,Daylight,Other,Raining,Other Vehicle,Other Vehicle,No Defects,Injury Crash
Montgomery,Daylight,Other,Raining,Pedestrian,Not Applicable,No Defects,Injury Crash
Baltimore City,Daylight,Single Vehicle,Other,Other Vehicle,Not Applicable,No Defects,Injury Crash
Cecil,Daylight,Same Direction Rear End,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Anne Arundel,Daylight,Other,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Frederick,Daylight,Same Movement Angle,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Montgomery,Daylight,Other,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore,Daylight,Same Movement Angle,Raining,Other Vehicle,Other Vehicle,No Defects,Property Damage Crash
Montgomery,Daylight,Same Direction Sideswipe,Clear,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore City,Daylight,Other,Raining,Other Vehicle,Parked Vehicle,Not Applicable,Property Damage Crash
Anne Arundel,Daylight,Single Vehicle,Raining,Fixed Object,Not Applicable,No Defects,Property Damage Crash
Prince George's,Dark Lights On,Single Vehicle,Cloudy,Other Vehicle,Fixed Object,No Defects,Injury Crash
Montgomery,Daylight,Other,Cloudy,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Anne Arundel,Daylight,Other,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore,Daylight,Head On,Raining,Other Vehicle,Parked Vehicle,No Defects,Property Damage Crash
Talbot,Daylight,Other,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Harford,Daylight,Other,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Kent,Daylight,Single Vehicle,Raining,Off Road,Fixed Object,No Defects,Property Damage Crash
Anne Arundel,Daylight,Single Vehicle,Clear,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Wicomico,Daylight,Same Direction Sideswipe,Cloudy,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Queen Anne's,Dark Lights On,Single Vehicle,Raining,Fixed Object,Not Applicable,No Defects,Injury Crash
Harford,Daylight,Single Vehicle,Raining,Fixed Object,Not Applicable,No Defects,Property Damage Crash
Montgomery,Daylight,Single Vehicle,Raining,Fixed Object,Not Applicable,No Defects,Property Damage Crash
Montgomery,Dark Lights On,Other,Clear,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore,Not Applicable,Unknown,Not Applicable,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Prince George's,Dark Lights On,Other,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore City,Daylight,Same Movement Angle,Raining,Pedestrian,Not Applicable,Unknown,Injury Crash
Baltimore,Daylight,Other,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore,Daylight,Other,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore,Dark Lights On,Other,Not Applicable,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Prince George's,Daylight,Same Direction Rear End,Not Applicable,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Anne Arundel,Daylight,Other,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore,Daylight,Other,Raining,Parked Vehicle,Other Pedalcycle,No Defects,Property Damage Crash
Baltimore,Daylight,Other,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Prince George's,Daylight,Single Vehicle,Raining,Fixed Object,Not Applicable,No Defects,Property Damage Crash
Wicomico,Dark No Lights,Single Vehicle,Raining,Overturn,Not Applicable,No Defects,Property Damage Crash
Wicomico,Daylight,Other,Raining,Other Vehicle,Parked Vehicle,No Defects,Property Damage Crash
Prince George's,Daylight,Same Direction Rear End,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore,Daylight,Unknown,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore,Daylight,Same Direction Rear End Left Turn,Not Applicable,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore,Unknown,Unknown,Unknown,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Cecil,Daylight,Single Vehicle,Raining,Fixed Object,Not Applicable,No Defects,Property Damage Crash
Worcester,Dark Lights On,Other,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Prince George's,Daylight,Single Vehicle,Raining,Other,Not Applicable,No Defects,Property Damage Crash
Prince George's,Daylight,Single Vehicle,Raining,Fixed Object,Not Applicable,No Defects,Property Damage Crash
Prince George's,Dark Lights On,Other,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Montgomery,Daylight,Single Vehicle,Raining,Fixed Object,Not Applicable,No Defects,Property Damage Crash
Baltimore,Daylight,Single Vehicle,Raining,Fixed Object,Not Applicable,No Defects,Property Damage Crash
Baltimore,Daylight,Unknown,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore,Daylight,Single Vehicle,Raining,Fixed Object,Not Applicable,No Defects,Property Damage Crash
Carroll,Daylight,Other,Not Applicable,Other Vehicle,Not Applicable,No Defects,Injury Crash
Anne Arundel,Daylight,Other,Not Applicable,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Carroll,Dark No Lights,Single Vehicle,Raining,Fixed Object,Fixed Object,No Defects,Property Damage Crash
Baltimore,Dark Lights On,Other,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Prince George's,Unknown,Other,Unknown,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Howard,Daylight,Single Vehicle,Raining,Fixed Object,Overturn,No Defects,Property Damage Crash
Prince George's,Dark Lights On,Other,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Anne Arundel,Daylight,Single Vehicle,Raining,Fixed Object,Not Applicable,No Defects,Property Damage Crash
Charles,Daylight,Head On Left Turn,Raining,Other Vehicle,Off Road,No Defects,Property Damage Crash
Baltimore,Daylight,Other,Raining,Parked Vehicle,Other Vehicle,No Defects,Property Damage Crash
Prince George's,Daylight,Head On,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore,Daylight,Other,Raining,Other Vehicle,Parked Vehicle,No Defects,Property Damage Crash
Prince George's,Dark Lights On,Head On,Not Applicable,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore,Dark Lights On,Other,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore City,Daylight,Same Direction Rear End,Raining,Other Vehicle,Parked Vehicle,No Defects,Property Damage Crash
Prince George's,Daylight,Single Vehicle,Raining,Fixed Object,Not Applicable,No Defects,Property Damage Crash
Prince George's,Daylight,Other,Raining,Pedestrian,Not Applicable,No Defects,Injury Crash
Baltimore,Unknown,Unknown,Other,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Anne Arundel,Daylight,Other,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Charles,Daylight,Same Direction Rear End,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore,Daylight,Same Direction Rear End,Raining,Parked Vehicle,Parked Vehicle,No Defects,Injury Crash
Garrett,Dark Lights On,Single Vehicle,Not Applicable,Off Road,Fixed Object,No Defects,Property Damage Crash
Baltimore City,Daylight,Other,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Frederick,Daylight,Single Vehicle,Raining,Off Road,Fixed Object,No Defects,Injury Crash
Anne Arundel,Dark Lights On,Same Direction Rear End,Raining,Other Vehicle,Not Applicable,No Defects,Injury Crash
Baltimore,Unknown,Unknown,Raining,Parked Vehicle,Parked Vehicle,No Defects,Property Damage Crash
Anne Arundel,Unknown,Single Vehicle,Not Applicable,Fixed Object,Not Applicable,No Defects,Property Damage Crash
Prince George's,Daylight,Single Vehicle,Raining,Fixed Object,Off Road,No Defects,Property Damage Crash
Baltimore,Unknown,Unknown,Not Applicable,Unknown,Not Applicable,No Defects,Property Damage Crash
